#100 6704 6 ST SW,#100 6704 6 ST SW,469,GJ,Calgary,Alberta,Canada,2023
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,343,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1801-1807 5919 24 AV NE HOUSING,602 5920 22 AV NE,287,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #202-208 5920 22 AV NE HOUSING,702 5920 22 AV NE,344,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #302-312 5920 22 AV NE HOUSING,802 5920 22 AV NE,469,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #502-508 5920 22 AV NE HOUSING,902 5920 22 AV NE,277,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - 5919 24 AV NE HOUSING,1215 RANCHLANDS WY NW,1258,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - 5920 22 AV NE HOUSING,161 RANCH GLEN DR NW,1282,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #602-608 5920 22 AV NE HOUSING,40 RANCHLANDS BA NW,280,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #702-712 5920 22 AV NE HOUSING,900 ROBERT RD NE,402,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #802-808 5920 22 AV NE HOUSING,1625 42 ST SW,297,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #902-912 5920 22 AV NE HOUSING,147 RUNDLEMERE RD NE,422,GJ,Calgary,Alberta,Canada,2023
RANCHLANDS GV NW HOUSING,3307 SPRUCE DR SW,1527,GJ,Calgary,Alberta,Canada,2023
RANCHLANDS HOUSING PROJECT,75 SHAWNESSY DR SW,587,GJ,Calgary,Alberta,Canada,2023
RANCHLANDS WEST HOUSING PROJECT,9090 24 ST SE,1208,GJ,Calgary,Alberta,Canada,2023
RENFREW 2,36 STRADWICK RI SW,1239,GJ,Calgary,Alberta,Canada,2023
ROSSCARROCK COMMUNITY HOUSING,58 TEMPLEMONT RD NE,4150,GJ,Calgary,Alberta,Canada,2023
RUNDLEMERE RD NE HOUSING,168 ST MORITZ DR SW,3252,GJ,Calgary,Alberta,Canada,2023
SHAGANAPPI VILLAGE,112 27 AV NW,16448,GJ,Calgary,Alberta,Canada,2023
SHAWNESSY TERRACE,1112 7 AV SW,2337,GJ,Calgary,Alberta,Canada,2023
SOUTH HILL MOBILE HOME PARK,11 VENTURA LN NE,81,GJ,Calgary,Alberta,Canada,2023
STRATHCONA 1,12 VENTURA LN NE,3920,GJ,Calgary,Alberta,Canada,2023
TEMPLE 1 COMMUNITY HOUSING,22 VENTURA LN NE,2742,GJ,Calgary,Alberta,Canada,2023
TREO AT MONTREUX,23 VENTURA LN NE,11982,GJ,Calgary,Alberta,Canada,2023
TUXEDO GARDEN COURT,249A PENNSYLVANIA RD SE,1163,GJ,Calgary,Alberta,Canada,2023
UPTOWN APT,249B PENNSYLVANIA RD SE,2195,GJ,Calgary,Alberta,Canada,2023
VENTURA LN NE - 11-21 VENTURA LN NE HOUSING,249C PENNSYLVANIA RD SE,320,GJ,Calgary,Alberta,Canada,2023
VENTURA LN NE - 12-20 VENTURA LN NE HOUSING,1225 14 AV SW,343,GJ,Calgary,Alberta,Canada,2023
VENTURA LN NE - 22-32 VENTURA LN NE HOUSING,110 WOODMONT CO SW,451,GJ,Calgary,Alberta,Canada,2023
VENTURA LN NE - 23-33 VENTURA LN NE HOUSING,233 WOODRIDGE DR SW,350,GJ,Calgary,Alberta,Canada,2023
VILLAGE III APARTMENTS - 249 PENNSYLVANIA RD SE HOUSING,1040 WOODVIEW CR SW,4301,GJ,Calgary,Alberta,Canada,2023
WHITE WEATHERFORD PLACE,1225 14 AV SW,3550,GJ,Calgary,Alberta,Canada,2023
