Business,Address,Annual Consumption,Units,City,Province,Country,Year
PINEWOOD PARK - #202-208 5920 22 AV NE HOUSING,702 5920 22 AV NE,363,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #302-312 5920 22 AV NE HOUSING,802 5920 22 AV NE,504,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #502-508 5920 22 AV NE HOUSING,902 5920 22 AV NE,285,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - 5919 24 AV NE HOUSING,1215 RANCHLANDS WY NW,1388,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - 5920 22 AV NE HOUSING,161 RANCH GLEN DR NW,1541,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #602-608 5920 22 AV NE HOUSING,40 RANCHLANDS BA NW,302,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #702-712 5920 22 AV NE HOUSING,900 ROBERT RD NE,438,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #802-808 5920 22 AV NE HOUSING,1625 42 ST SW,342,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #902-912 5920 22 AV NE HOUSING,147 RUNDLEMERE RD NE,471,GJ,Calgary,Alberta,Canada,2022
RANCHLANDS GV NW HOUSING,3307 SPRUCE DR SW,1773,GJ,Calgary,Alberta,Canada,2022
RANCHLANDS HOUSING PROJECT,75 SHAWNESSY DR SW,660,GJ,Calgary,Alberta,Canada,2022
RANCHLANDS WEST HOUSING PROJECT,9090 24 ST SE,1322,GJ,Calgary,Alberta,Canada,2022
RENFREW 2,36 STRADWICK RI SW,1340,GJ,Calgary,Alberta,Canada,2022
ROSSCARROCK COMMUNITY HOUSING,58 TEMPLEMONT RD NE,4587,GJ,Calgary,Alberta,Canada,2022
RUNDLEMERE RD NE HOUSING,168 ST MORITZ DR SW,3734,GJ,Calgary,Alberta,Canada,2022
SHAGANAPPI VILLAGE,112 27 AV NW,17494,GJ,Calgary,Alberta,Canada,2022
SHAWNESSY TERRACE,1112 7 AV SW,2541,GJ,Calgary,Alberta,Canada,2022
SOUTH HILL MOBILE HOME PARK,11 VENTURA LN NE,126,GJ,Calgary,Alberta,Canada,2022
STRATHCONA 1,12 VENTURA LN NE,4488,GJ,Calgary,Alberta,Canada,2022
TEMPLE 1 COMMUNITY HOUSING,22 VENTURA LN NE,3110,GJ,Calgary,Alberta,Canada,2022
TREO AT MONTREUX,23 VENTURA LN NE,13709,GJ,Calgary,Alberta,Canada,2022
TUXEDO GARDEN COURT,249A PENNSYLVANIA RD SE,1575,GJ,Calgary,Alberta,Canada,2022
UPTOWN APT,249B PENNSYLVANIA RD SE,2342,GJ,Calgary,Alberta,Canada,2022
VENTURA LN NE - 11-21 VENTURA LN NE HOUSING,249C PENNSYLVANIA RD SE,404,GJ,Calgary,Alberta,Canada,2022
VENTURA LN NE - 12-20 VENTURA LN NE HOUSING,1225 14 AV SW,369,GJ,Calgary,Alberta,Canada,2022
VENTURA LN NE - 22-32 VENTURA LN NE HOUSING,110 WOODMONT CO SW,495,GJ,Calgary,Alberta,Canada,2022
VENTURA LN NE - 23-33 VENTURA LN NE HOUSING,233 WOODRIDGE DR SW,420,GJ,Calgary,Alberta,Canada,2022
VILLAGE III APARTMENTS - 249A PENNSYLVANIA RD SE HOUSING,1040 WOODVIEW CR SW,4503,GJ,Calgary,Alberta,Canada,2022
WHITE WEATHERFORD PLACE,1225 14 AV SW,3265,GJ,Calgary,Alberta,Canada,2022
WOODBINE HOUSING,110 WOODMONT CO SW,1513,GJ,Calgary,Alberta,Canada,2022
WOODLANDS II,233 WOODRIDGE DR SW,5625,GJ,Calgary,Alberta,Canada,2022
WOODVIEW TERRACE,1040 WOODVIEW CR SW,4855,GJ,Calgary,Alberta,Canada,2022
